id_estudiante,año_academico,semestre,asignatura,aula,P1,P2,P3,P4,CF,asistencia
19,2025-2026,2,Matemática,Aula 1,41,46,42,43,43,58
19,2025-2026,2,Ciencias Sociales,Aula 1,51,56,52,53,53,65
19,2025-2026,2,Ciencias de la Naturaleza,Aula 1,45,50,46,47,47,60
19,2025-2026,2,Educación Artística,Aula 1,63,68,64,65,65,68
19,2025-2026,2,Educación Física,Aula 1,56,61,57,58,58,69
19,2025-2026,2,Formación Humana y Religiosa,Aula 1,47,52,48,49,49,62
19,2025-2026,2,Informática,Aula 1,59,64,60,61,61,67
,,,,,,,,,,
20,2025-2026,1,Lengua y Literatura,Aula 1,73,78,74,75,75,85
20,2025-2026,1,Inglés,Aula 1,77,82,78,79,79,86
20,2025-2026,1,Francés,Aula 1,69,74,70,71,71,83
20,2025-2026,1,Matemática,Aula 1,87,92,88,89,89,89
20,2025-2026,1,Ciencias Sociales,Aula 1,74,79,75,76,76,85
20,2025-2026,1,Ciencias de la Naturaleza,Aula 1,81,86,82,83,83,87
20,2025-2026,1,Educación Artística,Aula 1,71,76,72,73,73,84
20,2025-2026,1,Educación Física,Aula 1,75,80,76,77,77,85
20,2025-2026,1,Formación Humana y Religiosa,Aula 1,69,74,70,71,71,83
20,2025-2026,1,Informática,Aula 1,95,100,96,97,97,91
20,2025-2026,2,Lengua y Literatura,Aula 1,75,80,76,77,77,86
20,2025-2026,2,Inglés,Aula 1,79,84,80,81,81,87
20,2025-2026,2,Francés,Aula 1,71,76,72,73,73,85
20,2025-2026,2,Matemática,Aula 1,89,94,90,91,91,90
20,2025-2026,2,Ciencias Sociales,Aula 1,76,81,77,78,78,86
20,2025-2026,2,Ciencias de la Naturaleza,Aula 1,83,88,84,85,85,88
20,2025-2026,2,Educación Artística,Aula 1,73,78,74,75,75,85
20,2025-2026,2,Educación Física,Aula 1,77,82,78,79,79,86
20,2025-2026,2,Formación Humana y Religiosa,Aula 1,71,76,72,73,73,84
20,2025-2026,2,Informática,Aula 1,97,100,98,99,98.5,91
